Mature miRNA ID	HELA_average
hsa-miR-4492	0.180572246
hsa-miR-7854-3p	0.137503524
hsa-miR-4640-3p	0.122856748
hsa-miR-195-3p	0.122856748
hsa-miR-502-5p	0.108059746
hsa-miR-9-5p	0.108059746
hsa-miR-378g	0.093109404
hsa-miR-3127-3p	0.062735755
hsa-miR-5089-3p	0.03170886
hsa-miR-1224-5p	0.015941544
