Entrez id	hsa-miR-1-3p	hsa-miR-30a-5p	hsa-miR-155-5p	hsa-miR-16-5p	hsa-let-7b-5p
201973	-0.3448417	0.034512295	-0.058426955	-0.015250555	0.398009323
168090	-0.1035403	0.0573229	-0.057876375	0.202929952	-0.066007044
55861	0.02244156	0.103861379	-0.142125044	-0.08280741	-0.476830899
153579	0.02726581	0.037252512	-0.018297479	-0.024159891	-0.025095356
79796	0.1169496	-0.396321677	0.543514454	0.536381775	0.44547459
9133	0.1526119	0.093333813	0.166167726	0.103994695	0.190825891
111	0.1487	-0.066164626	-0.016455363	-0.042158956	-0.016347587
480	0.127764	0.035323423	0.14654885	0.04794647	0.064533875
79611	-0.03862558	0.080799071	-0.072706123	-0.11960828	-0.21613608
2852	0.09171322	0.206415368	0.20087417	0.080580274	-0.026599813
29950	0	0.052445453	0.002126824	-0.089639911	-0.381592663
2848	0.239033	-0.272323177	-0.108375603	-0.085231154	-0.142657389
7905	0.165104	-0.430028702	-0.012135056	-0.252971754	0.012687468
51529	0.1948117	0.098431238	0.159132797	0.319836671	0.123291305
27090	-0.06962007	0.145702693	-1.004075247	-0.332490453	-0.509180845
8773	0.4925711	0.054664054	-2.475247394	0.401061148	-1.282489149
3948	0.01973388	-0.340069395	-0.585255555	0.337399076	0.041120138
27087	-0.07513581	-0.028883911	0.245626429	0.166453325	-0.084235884
8473	0.1445411	-0.002541919	-0.638026557	-0.372089952	-0.050222144
1288	0.07396785	-0.118418596	-0.338176369	-0.320835472	-0.625582363
116984	-0.06420512	-0.047036388	-0.072332629	-0.682289458	0.002389315
7625	0.1799594	0.05432796	0.271014198	0.171632033	-0.037248773
23327	0.3243493	-0.175270628	-0.336239708	0.060998804	-0.008340637
127829	0.131847	-0.11143744	0.077787166	-0.049253105	-0.100263542
29080	0.1979211	-0.102115157	0.248923409	-0.669039126	0.324591619
4338	0.108016	0.052294069	-1.843921271	0.204687574	0.310002097
27044	0.2840768	0.053210679	0.39166459	0.504760114	0.108571661
55775	-0.4147209	0.042247717	0.153181241	0.207975296	-0.02635418
1153	-0.08124634	-0.091819538	0.429842596	0.216191039	0.255972187
29116	0.2391942	-0.01901824	0.248107624	0.540731097	0.160473465
8353	0.1109346	0.261342618	0.07809103	-0.0061477	-0.202843786
1760	0.07609808	0.073209298	-0.340336996	-0.638055703	-0.806968189
4192	0.2685445	-0.059916306	-0.544031985	-0.535628017	-0.522423625
54463	0.3376766	-0.547507399	1.15645006	0.570179696	1.506494866
252983	0.2117057	0.061838566	0.369147031	-0.029015661	0.195561969
57727	-0.1235412	0.222660537	-0.631802905	-0.250848661	-0.561152474
6582	0.157125	-0.142251308	0.133987194	-0.248833819	0.051418211
10953	-0.03043895	0.003235533	-0.627577821	-1.059117587	-0.398544111
27112	-0.04326012	-0.113686702	0.02467758	-0.159116018	-0.249161346
54583	0.08124783	-0.08083751	-0.432371999	-0.120878167	-0.069639005
51117	0.1365041	0.097496284	0.191274276	-0.025042932	-0.318853589
3206	-0.02559409	-0.114800589	1.248838877	0.679887778	1.040274629
65267	0.002665478	-0.086104689	-0.184166313	-0.2320836	-0.287472065
2820	-1.103134	-0.28038113	-0.274203659	-0.237335097	0.153631786
51702	-0.002744749	0.101608064	0.062794302	0.062794302	-0.183740168
6372	0.1532317	-0.090792885	0.466574682	-0.012671804	0.054118135
7932	-0.07312524	-0.192975509	-0.199394991	-0.26140583	-0.121602321
55867	-0.2057908	0.520005194	-0.214453611	-0.155402538	0.00276421
10585	0.2488649	0.269674152	0.605761988	0.17228042	-0.010462837
254773	-0.4969556	0.128438329	-0.063726409	-0.124118606	-0.098002536
5873	0.09651475	0.288897218	0.120209348	0.215686277	0.071722235
6580	0.2992989	-0.003515474	0.442499931	0.033752463	0.165156498
2515	0.160574	0.000460221	-0.009534206	0.028847287	0.073835177
7341	0.09245939	0.075384398	0.302127557	0.006269209	0.299187413
2015	0.06842077	-0.154681504	-0.612990528	-0.437983079	-0.348882601
